sku,name,price,aisle,,
79226,3 SONS BREWING ANTIQUE ALLEY AMBER ALE,4 FOR $10.99,BEER,,
76483,UNIBROUE LA FIN DU MONDE CAN,4 FOR $12.99,BEER,,
79228,3 SONS BREWING CITRUS MACHINE HAZY IPA,4 FOR $14.99,BEER,,
79433,TRIPPING ANIMALS BREWING EVERYHAZE IPA,4 FOR $18.99,BEER,,
79230,KING STATE BREWING GREEN DART PILSNER,4 FOR $12.99,BEER,,
75112,DRIVE THRU RED DRY HOPPED RED ALE CAN,6 FOR $8.49,BEER,,
62590,SIMPLER TIMES LAGER 12PK,12 FOR $9.99,BEER,,
59714,BOATSWAIN AMERICAN IPA,6 FOR $6.49,BEER,,
58268,BOATSWAIN DOUBLE IPA,6 FOR $6.49,BEER,,
72565,BOATSWAIN HAZY IPA,6 FOR $6.49,BEER,,
75191,STOCKYARD OATMEAL STOUT CAN,6 FOR $8.99,BEER,,
75189,JOSEPHSBRAU BAVARIAN HEFEWEIZEN CAN,6 FOR $7.99,BEER,,
75114,HENRY HOTSPURS HARD PRESSED CIDER CAN,6 FOR $9.99,BEER,,
96729,TRADER JOES DARK BEER,6 FOR $9.99,BEER,,
96728,TRADER JOES LAGER BEER,6 FOR $9.99,BEER,,
96730,TRADER JOES LIGHT BEER,6 FOR $9.99,BEER,,
79021,HIGH NOON SNOWBIRD VODKA SELTZER VARIETY 8PK,8 FOR $19.99,BEER,,
77012,HIGH NOON TEQUILA VARIETY PK,8 FOR $21.99,BEER,,
72914,MAMITAS VARIETY PACK,8 FOR $18.99,BEER,,
76974,MOM WATER VARIETY PACK,8 FOR $19.99,BEER,,
72748,ONDA VARIETY PACK,8 FOR $19.99,BEER,,
52437,CHARLES SHAW CAB,$4.49,WINE,,
52435,CHARLES SHAW CHARD,$4.49,WINE,,
63493,SHAW PINOT GRIGIO ORG GROWN,$3.99,WINE,,
63438,SHAW PINOT NOIR ORG GROWN,$3.99,WINE,,
68120,SHAW RED BLEND ORG GROWN,$3.99,WINE,,
52436,CHARLES SHAW MERLOT,$4.49,WINE,,
90061,CHARLES SHAW PINOT GRIGIO,$4.49,WINE,,
49356,CHARLES SHAW SAUV BLANC,$4.49,WINE,,
67809,CHARLES SHAW SHIRAZ,$4.49,WINE,,
92700,CHARLES SHAW WHITE ZIN,$4.49,WINE,,
65960,BARREL HEIST CAB SAUV BRBN BRL,$7.99,WINE,
54185,BLOCK 67 RED WIN CAB 3L BOX,$14.99,WINE,,
98339,CARETAKER CAB PASO,$9.99,WINE,,
71768,COCOBON ESTATES CAB SAUV,$7.99,WINE,,
61916,CORVELIA CAB SAUV PASO ROBLES,$10.99,WINE,,
78322,EIGHTEEN SQUARE YOUNTVILLE CABERNET SAUVIGNON,$24.99,WINE,,
93500,LIBERTE CAB PASO,$9.99,WINE,,
64472,MOON X CAB SAUV,$7.99,WINE,,
76075,MOTIF RED HILLS LAKE COUNTY CABERNET SAUVIGNON,$5.99,WINE,,
69083,PASO DRAGON CAB SAUV PASO ROBLES,$8.99,WINE,,
55762,RARE EARTH CAB MADE WITH ORG GRAPES,$8.99,WINE,,
77652,ROCK STATION NAPA VALLEY CABERNET SAUVIGNON,$14.99,WINE,,
76799,TJ GRAND RES CAB ALEXANDER VALLEY,$12.99,WINE,,
95364,TJ GROW RES CAB ORG GROWN,$6.99,WINE,,
71929,TJ PET RES CAB SAUV SONOMA,$7.99,WINE,,
